,Quantity,Amount (in INR)
"1. Online Tickets Sold"
"Super Early Bird","78","234,000.00"
"Total:","78","234,000.00"
""
"Total Online Tickets Sold:","78","234,000.00"
"Discounts:","0","-0.00"
"Refunds &amp; Cancellation:","-0","-0.00"
"Net Online Tickets Sold:","78","234,000.00"
"Total Townscript Fee:","","-9,418.50"
"Townscript Domestic Fee(3.5% + Rs 0/ticket):","","-8,190.78"
"Service Tax(15%):","","-1,227.72"
"Net Earnings:","","224,581.50"
"Paid Amount:","","195,789.00"
"Pending Amount:","","28,792.50"
